City,number
abohar,0
agartala,0
agra,0
ahmedabad,0
ahmednagar,0
aizawl,0
ajmer,0
akola,0
alappuzha,0
aligarh,0
alipurduar,0
allahabad,0
alwar,0
ambala,0
amravati,0
amritsar,0
aurangabad,0
bakshpur,0
bamanpuri,0
bangalore,0
baramulla,0
bardhaman,0
bareilly,0
belgaum,0
bellary,0
bhagalpur,0
bharatpur,0
bharauri,0
bhatpara,0
bhavnagar,0
bhilai,0
bhilwara,0
bhiwandi,0
bhiwani,0
bhopal,0
bhubaneshwar,0
bhuj,0
bhusaval,0
bidar,0
bijapur,0
bikaner,0
bilaspur,0
brahmapur,0
budaun,0
bulandshahr,0
calicut,0
chanda,0
chandigarh,0
chennai,0
chikka mandya,0
chirala,0
coimbatore,0
cuddalore,0
cuttack,0
daman,0
davangere,0
dehradun,0
delhi,12
dhanbad,0
dhulia,0
dibrugarh,0
dindigul,0
dispur,0
diu,0
faridabad,0
firozabad,0
fyzabad,0
gangtok,0
gaya,0
ghandinagar,0
ghaziabad,0
gopalpur,0
gulbarga,0
guntur,0
gurgaon,0
guwahati,0
gwalior,0
haldia,0
hapur,0
haripur,0
hatisa,0
hindupur,0
hisar,0
hospet,0
hubli,0
hyderabad,4
imphal,0
indore,0
itanagar,0
jabalpur,0
jaipur,0
jammu,0
jamshedpur,0
jhansi,1
jodhpur,0
jorhat,0
kagaznagar,0
kakinada,0
kanpur,1
karimnagar,0
karnal,0
karur,0
kavaratti,0
khammam,0
khanapur,0
kochi,0
kohima,0
kolar,0
kolhapur,0
kolkata,6
kollam,0
kota,0
krishnanagar,0
krishnapuram,0
kumbakonam,0
kurnool,0
latur,0
lucknow,0
ludhiana,0
machilipatnam,0
madurai,0
mangalore,0
mathura,0
meerut,0
mirzapur,0
moradabad,0
mumbai,0
muzaffarnagar,0
muzaffarpur,0
mysore,0
nagercoil,0
nanded,0
nandyal,0
nasik,0
navsari,0
nellore,0
new delhi,0
nizamabad,0
ongole,0
pali,0
panaji,0
panchkula,0
panipat,0
parbhani,0
pathankot,0
patiala,0
patna,0
pilibhit,0
porbandar,0
port blair,0
proddatur,0
puducherry,0
pune,0
puri,0
purnea,0
raichur,0
raipur,0
rajahmundry,0
rajapalaiyam,0
rajkot,0
rampura,0
ranchi,0
ratlam,0
raurkela,0
rohtak,0
saharanpur,0
saidapur,0
saidpur,0
salem,0
samlaipadar,0
sangli,0
saugor,0
shahbazpur,0
shiliguri,0
shillong,0
shimla,0
shimoga,0
sikar,0
silchar,0
silvassa,0
sirsa,0
solapur,0
sonipat,0
srinagar,0
surat,0
tezpur,0
thanjavur,0
tharati etawah,0
thiruvananthapuram,0
tiruchchirappalli,0
tirunelveli,0
tirupati,0
tiruppur,0
tiruvannamalai,0
tonk,0
tumkur,0
tuticorin,0
udaipur,0
ujjain,0
vadodara,0
valparai,0
varanasi,0
vellore,4
visakhapatnam,0
vizianagaram,0
warangal,0
